"Fecha","Último","Apertura","Máximo","Mínimo","Vol.","% var."
"23.08.2024","40.890,96","40.879,12","40.901,13","40.879,12","9,91M","0,44%"
"22.08.2024","40.712,78","40.932,23","41.026,64","40.584,47","310,48M","-0,43%"
"21.08.2024","40.890,49","40.881,03","40.974,40","40.738,43","281,46M","0,14%"
"20.08.2024","40.834,97","40.874,52","40.909,38","40.756,65","299,38M","-0,15%"
"19.08.2024","40.896,53","40.670,83","40.907,32","40.670,83","288,19M","0,58%"
"16.08.2024","40.659,76","40.528,86","40.726,03","40.453,58","323,22M","0,24%"
"15.08.2024","40.563,06","40.295,74","40.590,51","40.295,74","446,86M","1,39%"
"14.08.2024","40.008,39","39.800,59","40.068,75","39.737,20","317,80M","0,61%"
"13.08.2024","39.765,64","39.445,27","39.792,80","39.392,41","365,56M","1,04%"
"12.08.2024","39.357,01","39.556,01","39.587,06","39.251,72","312,38M","-0,36%"
"09.08.2024","39.497,54","39.408,06","39.628,66","39.230,43","316,32M","0,13%"
"08.08.2024","39.446,49","38.940,38","39.508,40","38.922,79","376,44M","1,76%"
"07.08.2024","38.763,45","39.230,09","39.477,96","38.731,51","428,25M","-0,60%"
"06.08.2024","38.997,66","38.736,22","39.449,53","38.638,30","475,42M","0,76%"
"05.08.2024","38.703,27","39.056,19","39.056,19","38.499,27","661,28M","-2,60%"
"02.08.2024","39.737,26","40.075,33","40.075,33","39.358,68","841,97M","-1,51%"
"01.08.2024","40.347,97","40.916,96","41.096,66","40.098,57","472,04M","-1,21%"
"31.07.2024","40.842,79","40.768,88","41.198,63","40.655,89","420,10M","0,24%"
"30.07.2024","40.743,33","40.622,13","40.866,25","40.529,10","358,45M","0,50%"
"29.07.2024","40.539,93","40.665,71","40.682,49","40.388,83","277,55M","-0,12%"
"26.07.2024","40.589,34","40.140,86","40.753,83","40.140,86","334,46M","1,64%"
"25.07.2024","39.935,07","39.828,63","40.438,82","39.817,50","382,49M","0,20%"
"24.07.2024","39.853,87","40.210,63","40.258,44","39.807,45","400,90M","-1,25%"
"23.07.2024","40.358,09","40.443,73","40.527,89","40.319,70","296,80M","-0,14%"
